Day,Date,Total Square,Total Cash CAD,Total CAD from USD,Total Cash (USD),Total CAD,Total Visitors,Long Weekend,Sponsorship Weekend,Cruise Ship Day,Rainy Day,Classroom Visits,Cruise,Local,Northwest BC,Other,D/n pay - Family Pass,D/n pay- No $,Unwilling to pay/walked away,Babies (0-3yrs),Child (4-12 yrs),Youth (13-18 yrs),Adult/Seniors,Sponsors,Comments
-Saturday-,Jun-15-24,$23.01,$14.00,$0.00,$0.00,$37.01,15,,,,,,0,4,5,3,3,0,0,2,4,1,10,0,
-Sunday-,Jun-16-24,$15.58,$35.05,$0.00,$0.00,$50.63,9,Y,,,,,0,2,2,2,3,0,0,4,0,0,5,0,ONC Visit + Father's Day
-Tuesday-,Jun-18-24,$34.98,$62.00,$0.00,$0.00,$96.98,54,,,,,Y,4,45,0,5,0,0,0,1,32,11,10,0,Oceania Regatta - 2 classroom visits today (all classroom payments entered as DONATIONS with no tax**
-Thursday-,Jun-20-24,$15.01,$28.00,$0.00,$0.00,$43.01,11,,,,,,0,7,0,4,0,0,0,1,3,0,7,0,
-Friday-,Jun-21-24,$69.44,-$1.24,$53.82,$39.00,$122.02,129,,Y,Y,,,107,17,1,4,0,0,0,3,21,15,90,0,"Carnival Miracle in Port, BC Parks Student Rangers joining us, National Indigenous Peoples Day, FREE admission"
-Saturday-,Jun-22-24,$52.21,$22.89,$0.00,$0.00,$75.10,18,,,,,,0,1,12,5,0,0,0,3,3,0,12,0,
-Sunday-,Jun-23-24,$72.11,$35.55,$0.00,$0.00,$107.66,18,,,,,,0,11,0,3,4,0,8,0,5,0,13,0,Farmer's Market from 10am to noon today
-Tuesday-,Jun-25-24,$114.14,$23.60,$75.90,$55.00,$213.64,38,,,Y,,Y,18,18,0,2,0,0,8,0,21,0,17,0,"Crown Princess in Port today, 1 class came down"
-Wednesday-,Jun-26-24,$71.96,$19.00,$27.60,$20.00,$118.56,41,,,,,Y,0,36,3,0,2,0,0,1,31,0,9,0,Open from 10am to 2:30pm to accommodate 2 classes 
-Thursday-,Jun-27-24,$0.00,$15.00,$0.00,$0.00,$15.00,29,,,,,,0,26,0,3,0,0,0,0,4,0,25,26,Sponsor Appreciation Event from 5pm to 7pm 
-Friday-,Jun-28-24,$28.00,$0.00,$0.00,$0.00,$28.00,11,,,,,,0,3,7,1,0,0,0,1,4,1,5,0,
-Saturday-,Jun-29-24,$0.00,$0.00,$0.00,$0.00,$0.00,70,,Y,,,,0,34,15,21,0,0,0,5,21,11,33,0,Trigon Sponsored Free Weekend
-Sunday-,Jun-30-24,$32.99,$15.00,$0.00,$0.00,$47.99,70,,Y,,,,0,47,0,23,0,0,0,6,17,4,43,0,Trigon Sponsored Free Weekend
-Monday-,Jul-1-24,$134.01,$130.00,$0.00,$0.00,$264.01,58,,,,,,0,43,0,9,6,0,0,3,25,0,30,0,"Canada Day + Night Market (Container Market open 6pm to 10pm, opened at 2pm to accommodate!)"
-Tuesday-,Jul-2-24,$182.59,$34.80,$52.44,$38.00,$269.83,34,,,Y,,,13,5,0,5,11,0,7,2,8,2,22,0,Carnival Miracle in Port today
-Thursday-,Jul-4-24,$43.01,$36.00,$0.00,$0.00,$79.01,13,,,,,,0,2,2,9,0,0,0,1,5,1,6,0,
-Friday-,Jul-5-24,$9.01,$39.00,$8.28,$6.00,$56.29,10,,,Y,,,1,7,0,2,0,0,6,2,4,0,4,0,Holland America's Westerdam in Port today
-Saturday-,Jul-6-24,$87.01,$139.15,$20.70,$15.00,$246.86,56,,,Y,,,6,16,9,17,8,0,1,0,20,2,34,0,Oceania Regatta in Port today
-Sunday-,Jul-7-24,$80.00,$12.00,$0.00,$0.00,$92.00,18,,,,,,0,8,8,2,0,0,0,2,7,0,9,0,
-Tuesday-,Jul-9-24,$34.98,$18.00,$0.00,$0.00,$52.98,15,,,Y,,,2,8,1,2,2,0,4,2,4,1,8,0,Seabourn Odyssey in Port 
-Thursday-,Jul-11-24,$48.01,$26.00,$0.00,$0.00,$74.01,17,,,,,,0,7,5,5,0,0,0,5,2,3,7,0,
-Friday-,Jul-12-24,$122.17,$31.00,$53.82,$39.00,$206.99,44,,,Y,,,24,10,3,3,4,0,1,1,16,5,22,0,Carnival Miracle in Port 
-Saturday-,Jul-13-24,$33.60,$0.00,$0.00,$0.00,$33.60,63,,Y,,,,0,47,9,7,0,0,0,10,16,6,31,0,Triton Sponsored Free Weekend
-Sunday-,Jul-14-24,$0.00,$10.00,$0.00,$0.00,$10.00,87,,Y,,,,0,58,13,16,0,0,0,15,16,6,50,0,Triton Sponsored Free Weekend
-Wednesday-,Jul-17-24,$77.69,$22.25,$45.54,$33.00,$145.48,18,,,Y,,,13,4,0,1,0,0,0,1,4,2,11,0,Crown Princess in Port
-Thursday-,Jul-18-24,$185.36,$184.75,$0.00,$0.00,$370.11,63,,,,,,0,35,3,25,0,0,0,1,21,3,38,0,Night Market - Open 10:30 to 21:00
-Friday-,Jul-19-24,$28.00,$68.25,$0.00,$0.00,$96.25,14,,,,,,0,3,2,9,0,0,0,1,4,2,7,0,Did a deposit ($625CAD and $123USD)
-Saturday-,Jul-20-24,$47.98,$25.00,$0.00,$0.00,$72.98,19,,,,,,0,11,2,6,0,0,0,2,4,0,13,0,
-Sunday-,Jul-21-24,$87.98,$80.00,$0.00,$0.00,$167.98,37,,,,,,0,21,9,5,2,0,0,6,13,2,16,0,Farmer's Market 11am to 2pm in Cow Bay
-Tuesday-,Jul-23-24,$117.15,$11.15,$1.38,$1.00,$129.68,18,,,Y,,,14,2,2,0,0,0,0,1,5,2,10,0,Carnival Miracle and Seabourn Odyssey both in Port 
-Thursday-,Jul-25-24,$22.98,$0.00,$0.00,$0.00,$22.98,16,,,,,,0,7,4,2,3,0,1,1,4,3,8,0,
-Friday-,Jul-26-24,$78.98,$0.00,$0.00,$0.00,$78.98,23,,,,,,0,5,11,0,7,0,0,2,9,0,12,0,
-Saturday-,Jul-27-24,$0.00,$0.00,$0.00,$0.00,$0.00,60,,Y,,,,0,24,8,28,0,0,0,5,14,1,40,0,DRAX Sponsored Free Weekend
-Sunday-,Jul-28-24,$22.40,$0.00,$0.00,$0.00,$22.40,29,,Y,,Y,,0,12,4,13,0,0,0,2,4,4,19,0,"DRAX Sponsored Free Weekend, chilly rainy day "
-Thursday-,Aug-1-24,$197.04,$41.60,$0.00,$0.00,$238.64,54,,,,,,0,3,14,13,24,0,0,2,18,12,22,0,
-Friday-,Aug-2-24,$87.74,$50.25,$143.52,$104.00,$281.51,69,,,Y,,,45,5,7,12,0,0,0,3,14,10,42,0,Carnival Miracle in Port
-Saturday-,Aug-3-24,$55.07,$125.40,$13.80,$10.00,$194.27,26,,,Y,,,4,8,0,12,2,0,0,3,7,1,15,0,Oceania Regatta in Port
-Sunday-,Aug-4-24,$152.98,$25.00,$0.00,$0.00,$177.98,53,,,,,,0,8,21,24,0,0,0,7,18,1,27,0,
-Tuesday-,Aug-6-24,$89.99,$30.00,$0.00,$0.00,$119.99,23,,,Y,,,0,11,5,7,0,0,3,0,11,2,10,0,Seabourn Odyssey in Port
-Thursday-,Aug-8-24,$117.57,$159.00,$0.00,$0.00,$276.57,40,,,,,,0,23,6,11,0,0,5,3,15,0,22,0,Night Market - Open 10:30 to 21:00
-Friday-,Aug-9-24,$28.00,$13.00,$0.00,$0.00,$41.00,14,,,,,,0,4,5,5,0,0,0,1,6,1,6,0,Did a deposit ($515CAD and $100USD)
-Saturday-,Aug-10-24,$139.18,$47.00,$0.00,$0.00,$186.18,32,,,,,,0,20,3,9,0,0,0,5,10,0,17,0,
-Sunday-,Aug-11-24,$65.01,$10.40,$0.00,$0.00,$75.41,15,,,,,,0,10,3,2,0,0,0,3,5,1,6,0,
-Tuesday-,Aug-13-24,$63.98,$32.45,$37.26,$27.00,$133.69,30,,,Y,,,20,0,0,10,0,0,0,0,6,2,22,0,Carnival Miracle in Port
-Thursday-,Aug-15-24,$128.35,$61.10,$0.00,$0.00,$189.45,29,,,,,Y,0,18,1,10,0,0,0,1,16,0,12,0,Day Camp group - 16 kids
-Friday-,Aug-16-24,$60.48,$31.00,$0.00,$0.00,$91.48,30,,,,,,0,17,3,8,2,0,0,3,8,0,19,0,Staff/Volunteer Appreciation Night @ the hatchery
-Saturday-,Aug-17-24,$55.39,$10.00,$0.00,$0.00,$65.39,13,,,,,,0,2,7,4,0,0,0,1,2,1,9,0,
-Sunday-,Aug-18-24,$0.00,$29.00,$0.00,$0.00,$29.00,7,,,,,,0,5,0,2,0,0,0,0,3,1,3,0,Farmer's Market 11am to 2pm in Cow Bay... someone said it is cancelled... 
-Tuesday-,Aug-20-24,$93.99,$82.40,$0.00,$0.00,$176.39,20,,,Y,,,0,2,4,14,0,0,0,2,2,0,16,0,Seabourn Odyssey in Port
-Thursday-,Aug-22-24,$8.00,$36.20,$0.00,$0.00,$44.20,19,,,,,Y,0,15,1,3,0,0,0,1,9,2,7,0,Day Camp group - 8 kids
-Friday-,Aug-23-24,$85.19,$43.60,$34.50,$25.00,$163.29,31,,,Y,,,11,11,0,9,0,0,4,2,7,0,22,0,Carnival Miracle in Port
-Saturday-,Aug-24-24,$14.99,$22.95,$27.60,$20.00,$65.54,49,,,Y,,,2,31,3,9,4,4,0,10,11,4,24,0,"Oceania Regatta in Port, did a deposit CAD$430/ USD$85"
-Sunday-,Aug-25-24,$8.91,$10.00,$0.00,$0.00,$18.91,2,,,,Y,,0,0,0,2,0,0,2,0,0,0,2,0,"super windy, rainy cold Rupert day, could not even open the big doors!"
-Thursday-,Aug-29-24,$0.00,$111.05,$0.00,$0.00,$111.05,22,,,,,Y,0,18,0,4,0,0,0,0,13,0,9,0,Day Camp group - 11 kids
-Friday-,Aug-30-24,$97.56,$42.00,$6.90,$5.00,$146.46,15,,,Y,,,8,2,2,3,0,0,0,0,3,0,12,0,Crown Princess in Port
-Saturday-,Aug-31-24,$76.95,$44.60,$0.00,$0.00,$121.55,28,,,,,,0,18,7,3,0,0,0,1,9,0,18,0,
-Sunday-,Sep-1-24,$6.01,$35.00,$0.00,$0.00,$41.01,15,,,,,,0,5,8,2,0,0,3,2,1,1,11,0,
-Tuesday-,Sep-3-24,$133.51,$0.00,$158.70,$115.00,$292.21,35,,,Y,,,26,7,0,2,0,0,12,1,5,0,29,0,Carnival Miracle & National Geographic Venture in Port
-Saturday-,Sep-7-24,$0.00,$10.00,$0.00,$0.00,$10.00,2,,,,,,0,0,0,2,0,0,1,0,0,0,2,0,
-Sunday-,Sep-8-24,$47.99,$40.00,$0.00,$0.00,$87.99,34,,,,,,0,15,4,8,7,0,0,5,13,0,16,0,
-Tuesday-,Sep-10-24,$133.77,$44.05,$56.58,$41.00,$234.40,22,,,Y,,,15,4,1,2,0,0,16,1,1,0,20,0,Crown Princess in Port
-Friday-,Sep-13-24,$287.70,$5.30,$89.70,$65.00,$382.70,27,,,Y,,,18,6,0,2,1,0,15,2,5,1,19,0,Carnival Miracle in Port
-Saturday-,Sep-14-24,$0.00,$25.00,$0.00,$0.00,$25.00,6,,,,,,0,4,0,2,0,0,4,0,2,0,4,0,
-Sunday-,Sep-15-24,$36.00,$5.00,$0.00,$0.00,$41.00,4,,,,,,0,4,0,0,0,0,0,1,1,0,2,0,Did a deposit on closed day Sept 18th - CAD$430/USD$193
-Friday-,Sep-20-24,$86.56,$5.00,$0.00,$0.00,$91.56,8,,,Y,,,2,6,0,0,0,0,2,0,1,0,7,0,Oceania Regatta in Port
-Saturday-,Sep-21-24,$73.99,$0.00,$0.00,$0.00,$73.99,7,,,,,,0,0,4,3,0,0,3,3,1,0,3,0,
-Sunday-,Sep-22-24,$37.99,$5.00,$0.00,$0.00,$42.99,5,,,,,,0,5,0,0,0,0,0,2,0,0,3,0,
-Friday-,Sep-27-24,$13.50,$21.80,$6.90,$5.00,$42.20,13,,,Y,,,11,0,0,2,0,0,4,0,0,0,13,0,Holland America's Noordam in Port
-Saturday-,Sep-28-24,$15.99,$0.00,$0.00,$0.00,$15.99,7,,,,,,0,3,0,1,3,0,0,1,2,0,4,0,
